Label,Type,Description,Tag
Gersonides,,Jewish philosophy,Medieval philosophy
Jean Buridan,Scholasticism,Western philosophy,Medieval philosophy
Euclid,,,
Mu'tazilism,,,
Al-Khalil_ibn_Ahmad_al-Farahidi,,,
Abu Zayd al-Balkhi,Persian science,,Islamic Golden Age
Ahmad ibn al-Tayyib al-Sarakhsi,,,
Isaac Israeli ben Solomon,Neoplatonism,Jewish philosophy,Medieval philosophy
Abu Ma'shar al-Balkhi,,,Islamic Golden Age
Miskawayh,,Iran,Islamic Golden Age
Ibn al-Haytham,,,
Sibawayh,,Islamic philosophy,Medieval philosophy
Al-Asmaʿi,,,Islamic Golden Age
Al-Raghib al-Isfahani,,,Later Abbasid era
Al-Khal%C4%ABl_ibn_Ahmad_al-Farahidi,,,
Hammad ibn Salamah,,Abbasid Caliphate,Abbasid era
Al-Akhfash al-Akbar,,,
Yunus ibn Habib,,,
Qira'at,,,
Sa'id ibn Aws al-Ansari,,,
Niftawayh,,Mesopotamia,
Abu Turab al-Zahiri,,,
Muhammad bin Dawud al-Zahiri,,Mesopotamia,
Al-Masudi,,,Islamic golden age
Al-Qadi al-Nu'man,,,
Muhammad_ibn_Jarir_al-Tabari,,Abbasid Caliphate,Medieval era
Ibn al-Mughallis,,Abbasid Caliphate,Islamic Golden Age
Ibn Kathir,,Sham,Bahri Mamluk Sultanate
Abu Abd al-Rahman Ibn Aqil al-Zahiri,,Islamic philosophy,Contemporary Islamic philosophy
Ibn Hazm,,Al-Andalus,
Abd al-Aziz Ibn Baz,,Middle East,
Ibn Humaid,,,
Abdul Aziz al-Harbi,,,
Al-Shawkani,,Yemen,
Rashid Rida,,,
Al-Albani,,,Modern
Zahiri school,,,
Madhhab,,,
Muhammad Asad,,,
Siddiq Hasan Khan,,,19th Century
Hassan al-Banna,,,
Muhammad Taqi-ud-Din al-Hilali,,North Africa,
Shakib Arslan,,,
Muhibb-ud-Deen Al-Khatib,,,
Vakkom Moulavi,,,
Abul Hasan Ali Hasani Nadwi,,,
Muhammad ibn al-Uthaymin,,Arabian Peninsula,
Yusuf al-Qaradawi,,,
Ahmad Muhammad Shakir,,Cairo,
Sayyid Qutb,,,Modern era
Abul A'la Maududi,,,
Rabee al-Madkhali,,,
Umar Sulaiman Al-Ashqar,,,
Muqbil bin Hadi al-Wadi'i,,,
Muhammad bin Jamil Zeno,,,
Abdul Qayum (imam),,,
Jusuf Barčić,Salafism,,
Saeed Abubakr Zakaria,,,
Adil al-Kalbani,,,
Zahran Alloush,,,
Constitution of Pakistan,,,
Murad Wilfried Hofmann,,,
Tariq Ramadan,,,21st-century philosophy
Maryam Jameelah,,,
Anti-communism,,,
Anti-imperialism,,,
